symbol,currency,categoryName,currencyProfit,quoteId,quoteIdCross,marginMode,profitMode,pipsPrecision,contractSize,exemode,time,expiration,stopsLevel,precision,swapType,stepRuleId,type,instantMaxVolume,groupName,description,longOnly,trailingEnabled,marginHedgedStrong,swapEnable,percentage,bid,ask,high,low,lotMin,lotMax,lotStep,tickSize,tickValue,swapLong,swapShort,leverage,spreadRaw,spreadTable,starting,swap_rollover3days,marginMaintenance,marginHedged,initialMargin,timeString,shortSelling,currencyPair
SPA35.cash,EUR,IND,EUR,5,4,102,6,0,10,1,1738954789307,,0,0,3,6,2078,2147483647,Europe,Contract for index reflecting 35 largest Spanish stocks quoted on organized market.,False,True,False,True,100.0,12639.0,12645.0,12753.0,12637.0,0.01,100.0,0.01,1.0,10.0,-0.016447,-0.000214,10.0,6.0,6.0,,0,0,0,0,Fri Feb 07 19:59:49 CET 2025,True,False
ONTO.US_4,USD,STC,USD,6,4,103,6,2,1,1,1738961969822,,0,2,2,671,13,2147483647,US,Onto Innovation Inc CFD,False,False,False,True,100.0,185.64,186.53,196.3,180.36,1.0,1000000.0,1.0,0.01,0.01,-0.02458,-0.00042,20.0,0.89,89.0,,0,0,0,0,Fri Feb 07 21:59:29 CET 2025,True,False
ACCD.US,USD,STC,USD,6,15,104,6,2,1,1,1738961691180,,0,2,2,12,2436,2147483647,US,Accolade Inc,True,False,False,True,100.0,6.88,6.89,6.89,6.84,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.01,1.0,,0,0,0,0,Fri Feb 07 21:54:51 CET 2025,False,False
GKS.DE,EUR,STC,EUR,6,15,104,6,4,1,1,1690903612465,,0,4,2,222,2424,2147483647,Germany,GK Software SE,True,False,False,True,100.0,198.0,201.0,0.0,0.0,1.0,1000000.0,1.0,0.0001,0.0001,0.0,0.0,100.0,3.0,30000.0,,0,0,0,0,Tue Aug 01 17:26:52 CEST 2023,False,False
MLNT.US,USD,STC,USD,6,15,104,6,4,1,1,0,,0,4,2,12,2436,2147483647,US,Melinta Therapeutics Inc,True,False,False,True,100.0,0.0,0.0,0.0,0.0,1.0,1000000.0,1.0,0.0001,0.0001,0.0,0.0,100.0,0.0,0.0,,0,0,0,0,Thu Jan 01 01:00:00 CET 1970,False,False
CRDA.UK_9,GBP,STC,GBP,6,15,104,6,3,1,1,1738946690705,,0,3,2,225,2434,2147483647,UK,Croda International PLC,True,False,False,True,100.0,30.78,30.8,31.4,30.49,1.0,1000000.0,1.0,0.001,0.001,0.0,0.0,100.0,0.02,20.0,,0,0,0,0,Fri Feb 07 17:44:50 CET 2025,False,False
AOS.US_4,USD,STC,USD,6,4,103,6,2,1,1,1738961998387,,0,2,2,671,13,2147483647,US,AO Smith Corp CFD,False,False,False,True,100.0,65.18,65.42,66.0,64.86,1.0,1000000.0,1.0,0.01,0.01,-0.02458,-0.00042,20.0,0.24,24.0,,0,0,0,0,Fri Feb 07 21:59:58 CET 2025,True,False
ATO.US_4,USD,STC,USD,6,4,103,6,2,1,1,1738961955793,,0,2,2,671,13,2147483647,US,Atmos Energy Corp CFD,False,False,False,True,100.0,141.92,142.39,143.42,141.2,1.0,1000000.0,1.0,0.01,0.01,-0.02458,-0.00042,25.0,0.47,47.0,,0,0,0,0,Fri Feb 07 21:59:15 CET 2025,True,False
MPC.US_9,USD,STC,USD,6,15,104,6,2,1,1,1738961988866,,0,2,2,12,2436,2147483647,US,Marathon Petroleum Corp,True,False,False,True,100.0,150.87,150.93,152.5,149.57,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.06,6.0,,0,0,0,0,Fri Feb 07 21:59:48 CET 2025,False,False
ETRN.US,USD,STC,USD,6,15,104,6,2,1,1,1718999975468,,0,2,2,12,2436,2147483647,US,Equitrans Midstream Corp,True,False,False,True,100.0,12.94,12.96,0.0,0.0,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.02,2.0,,0,0,0,0,Fri Jun 21 21:59:35 CEST 2024,False,False
